Date;4151 - Federal domestic securities (balances) - National Treasury liabilities - Portfolio position - Total issued - c.m.u. (million)
08/2012;2,637,403.80
09/2012;2,682,532.79
10/2012;2,718,147.45
11/2012;2,758,596.74
12/2012;2,823,336.28
01/2013;2,730,962.19
02/2013;2,759,476.95
03/2013;2,771,928.78
04/2013;2,778,446.22
05/2013;2,763,430.05
06/2013;2,814,320.44
07/2013;2,779,020.44
08/2013;2,810,927.72
09/2013;2,827,905.83
10/2013;2,871,935.06
11/2013;2,922,448.47
12/2013;2,986,224.21
01/2014;2,907,992.38
02/2014;2,944,628.59
03/2014;2,968,764.61
04/2014;2,946,054.33
05/2014;3,021,664.01
06/2014;3,111,712.08
07/2014;3,052,874.18
08/2014;3,067,126.60
09/2014;3,071,158.80
10/2014;3,052,957.39
11/2014;3,136,983.09
12/2014;3,301,051.28
01/2015;3,204,001.86
02/2015;3,298,151.23
03/2015;3,441,395.66
04/2015;3,451,710.08
05/2015;3,484,067.65
06/2015;3,585,829.91
07/2015;3,586,722.02
08/2015;3,691,613.29
09/2015;3,802,662.72
10/2015;3,712,378.65
11/2015;3,794,401.22
12/2015;3,936,680.80
01/2016;3,873,237.11
02/2016;3,952,682.57
03/2016;4,042,856.31
04/2016;3,967,753.97
05/2016;4,048,689.70
06/2016;4,157,399.73
07/2016;4,151,057.69
08/2016;4,129,135.39
09/2016;4,258,862.67
10/2016;4,255,200.29
11/2016;4,312,217.84
12/2016;4,509,262.41
01/2017;4,510,876.06
02/2017;4,616,502.39
03/2017;4,726,683.39
04/2017;4,749,125.10
05/2017;4,728,247.39
06/2017;4,835,375.81
07/2017;4,791,611.27
08/2017;4,918,862.26
09/2017;4,962,417.98
10/2017;4,950,443.95
11/2017;5,017,785.51
12/2017;5,094,970.67
01/2018;5,075,780.97
02/2018;5,130,850.09
03/2018;5,230,541.85
04/2018;5,264,756.68
05/2018;5,327,222.22
06/2018;5,376,889.79
07/2018;5,361,650.26
08/2018;5,375,840.88
09/2018;5,410,342.15
10/2018;5,385,115.16
11/2018;5,452,979.39
12/2018;5,523,152.99
01/2019;5,465,306.09
02/2019;5,552,963.80
03/2019;5,583,309.44
04/2019;5,567,689.41
05/2019;5,550,477.47
06/2019;5,653,213.26
07/2019;5,635,436.48
08/2019;5,721,893.74
09/2019;5,812,839.73
10/2019;5,773,661.47
11/2019;5,887,136.09
12/2019;5,971,964.07
01/2020;5,948,372.87
02/2020;6,001,565.74
03/2020;5,863,787.07
04/2020;5,864,573.46
05/2020;5,955,202.98
06/2020;6,082,289.02
07/2020;5,996,014.82
08/2020;6,041,006.83
09/2020;6,150,672.46
10/2020;6,293,106.91
11/2020;6,464,359.86
12/2020;6,691,968.61
01/2021;6,709,482.27
02/2021;6,871,724.61
03/2021;6,923,713.31
04/2021;6,814,016.58
05/2021;6,907,904.41
06/2021;7,083,888.15
07/2021;7,117,953.97
08/2021;7,207,457.09
09/2021;7,161,594.88
10/2021;7,102,420.63
11/2021;7,238,988.95
12/2021;7,378,360.95
01/2022;7,389,427.40
02/2022;7,520,603.00
03/2022;7,392,957.73
04/2022;7,433,864.68
05/2022;7,561,803.71
06/2022;7,700,157.87
07/2022;7,657,577.81
08/2022;7,627,153.52
09/2022;7,540,273.57
10/2022;7,600,260.99
11/2022;7,742,549.32
12/2022;7,854,469.93
01/2023;7,690,510.83
02/2023;7,799,248.70
03/2023;7,864,403.53
Source;BCB-DSTAT
